City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Diamantino,-14.41,-56.45,81.75,67,57,7.34,BR,1609853253
Bubaque,11.28,-15.83,81.3,39,5,2.98,GW,1609853540
Airai,-8.93,125.41,62.92,100,100,0.43,TL,1609853541
Pemba,-12.97,40.52,84.2,66,75,12.75,MZ,1609853542
Akureyri,65.68,-18.09,37.4,64,20,11.41,IS,1609853543
Moree,-29.47,149.85,77.0,69,33,5.82,AU,1609853545
Salalah,17.02,54.09,77.0,44,0,9.17,OM,1609853547
Bengkulu,-3.8,102.27,79.63,87,100,4.68,ID,1609853548
Tucumcari,35.17,-103.72,37.4,47,1,17.22,US,1609853447
Tazovsky,67.47,78.7,-14.26,88,51,12.35,RU,1609853550
Bani Walid,31.76,13.99,58.26,30,100,8.55,LY,1609853551
Bolshaya Rechka,51.95,104.74,-18.4,75,75,8.95,RU,1609853552
Petrokamenskoye,57.72,60.65,-2.83,92,91,5.93,RU,1609853553
Fare,-16.7,-151.02,80.28,75,100,13.53,PF,1609853554
Inhambane,-23.86,35.38,89.6,59,40,11.41,MZ,1609853439
Takoradze,4.88,-1.76,85.1,71,100,9.84,GH,1609853556
Bad Frankenhausen,51.35,11.1,35.01,86,100,1.01,DE,1609853558
Upernavik,72.79,-56.15,7.93,94,100,33.71,GL,1609853559
São João da Barra,-21.64,-41.05,86.0,62,0,5.82,BR,1609853560
Yaan,7.38,8.57,101.43,16,82,6.89,NG,1609853561
Husavik,66.04,-17.34,37.4,64,20,11.41,IS,1609853562
Comodoro Rivadavia,-45.87,-67.5,69.8,43,0,10.29,AR,1609853290
Bilma,18.69,12.92,93.92,10,0,6.55,NE,1609853564
Luanda,-8.84,13.23,86.0,58,40,14.99,AO,1609853459
Yellowknife,62.46,-114.35,-25.6,74,75,8.05,CA,1609853404
Rawson,-43.3,-65.1,65.23,36,0,6.89,AR,1609853466
Praia,14.92,-23.51,86.0,15,75,19.46,CV,1609853397
Wilmington,34.23,-77.94,41.0,93,20,4.43,US,1609853277
Baião,-2.79,-49.67,88.79,54,80,4.68,BR,1609853573
Panabá,21.28,-88.27,72.27,83,95,8.1,MX,1609853574
Zanjān,36.67,48.48,33.8,64,0,6.93,IR,1609853575
Rāyadrug,14.7,76.87,75.07,70,78,12.21,IN,1609853576
Bindi,9.92,-11.45,96.89,17,27,7.52,SL,1609853577
Channarāyapatna,12.9,76.39,72.82,67,75,4.52,IN,1609853579
Tuy Hoa,13.08,109.3,73.96,90,96,13.73,VN,1609853555
Nefteyugansk,61.1,72.6,-13.0,75,0,8.95,RU,1609853581
Alihe,50.57,123.72,-12.71,83,100,2.48,CN,1609853582
Kyabé,9.45,18.94,101.75,8,0,9.4,TD,1609853583
Hayange,49.33,6.05,37.99,89,100,1.01,FR,1609853584
Cidreira,-30.18,-50.21,80.28,61,100,5.59,BR,1609853586
Vostok,46.49,135.88,-15.05,91,100,4.23,RU,1609853587
Avera,33.19,-82.53,44.01,87,40,4.7,US,1609853589
Kahului,20.89,-156.47,73.4,69,40,5.82,US,1609853590
Caravelas,-17.71,-39.25,84.99,60,83,10.76,BR,1609853591
Vizianagaram,18.12,83.42,78.8,69,94,8.05,IN,1609853592
Avilés,43.55,-5.92,45.0,86,20,12.75,ES,1609853593
Cuamba,-14.8,36.54,80.33,72,55,4.25,MZ,1609853594
Silva Jardim,-22.65,-42.39,84.2,68,40,3.36,BR,1609853595
Hirara,24.8,125.28,67.28,83,100,31.9,JP,1609853596
Lookan,5.04,120.1,81.59,73,100,2.73,PH,1609853597
Ostrovnoy,68.05,39.51,11.21,94,49,13.0,RU,1609853598
Nakhon Thai,17.1,100.84,73.4,83,0,2.84,TH,1609853601
Krasnosel'kup,65.7,82.47,-15.25,88,98,12.39,RU,1609853602
Jaen,38.0,-3.5,50.0,65,100,3.36,ES,1609853603
Evensk,61.95,159.23,-12.53,79,37,7.72,RU,1609853604
Outlook,51.5,-107.05,32.0,93,100,3.36,CA,1609853605
Liverpool,53.41,-2.98,41.0,75,0,12.75,GB,1609853357
Roald,62.58,6.13,33.8,64,0,5.82,NO,1609853607
Beringovskiy,63.05,179.32,-8.07,85,12,10.83,RU,1609853608
Kununurra,-15.77,128.73,84.2,89,11,7.0,AU,1609853609
Provideniya,64.38,-173.3,0.59,84,13,11.81,RU,1609853612
Lavrentiya,65.58,-171.0,-6.39,87,0,13.91,RU,1609853613
Westport,41.14,-73.36,35.01,85,1,7.9,US,1609853546
Karaton,-6.34,106.1,82.99,83,20,2.24,ID,1609853616
Sibolga,1.74,98.78,78.69,83,87,3.02,ID,1609853617
Tolaga Bay,-38.37,178.3,60.6,90,48,5.01,NZ,1609853618
Broken Hill,-31.95,141.43,73.4,28,31,9.17,AU,1609853510
Moerai,-22.43,-151.33,78.51,75,5,11.16,PF,1609853621
Wadi Maliz,36.47,8.55,57.2,33,40,5.82,TN,1609853622
Changde,29.05,111.68,40.17,69,83,7.34,CN,1609853623
Gornyak,50.99,81.47,-24.02,87,93,1.92,RU,1609853624
Bundaberg,-24.85,152.35,77.0,88,100,1.23,AU,1609853625
Itoman,26.12,127.67,62.6,82,75,19.46,JP,1609853626
Palmer,42.16,-72.33,30.99,100,90,4.79,US,1609853628
Khasan,42.43,130.64,9.72,80,0,15.46,RU,1609853629
Batagay-Alyta,67.8,130.41,-21.57,81,0,1.79,RU,1609853630
Boden,65.83,21.69,14.0,92,90,1.12,SE,1609853631
Saint-Pierre,-21.34,55.48,84.2,62,75,21.92,RE,1609853632
Philadelphia,39.95,-75.16,39.2,82,90,3.44,US,1609853443
Palm Coast,29.59,-81.21,50.0,93,1,5.97,US,1609853601
Laguna,38.42,-121.42,39.99,93,90,1.45,US,1609853635
Wamba,8.93,8.6,100.65,10,24,7.23,NG,1609853636
Khāsh,28.22,61.22,40.98,46,0,5.21,IR,1609853638
Matara,5.95,80.54,78.1,87,56,6.2,LK,1609853627
Calama,-22.47,-68.93,60.8,44,0,8.05,CL,1609853640
San Quintín,30.48,-115.95,53.69,83,0,1.3,MX,1609853641
Semirara,12.07,121.4,82.08,77,90,19.55,PH,1609853642
Okhotsk,59.38,143.3,-8.86,84,98,12.35,RU,1609853643
Mamlyutka,54.94,68.54,-9.4,76,0,17.9,KZ,1609853644
Pabradė,55.0,25.78,34.0,100,90,8.05,LT,1609853645
Ust-Kuyga,70.02,135.6,-34.89,80,64,9.24,RU,1609853647
Meridian,43.61,-116.39,36.0,100,1,5.82,US,1609853404
Kemijärvi,66.71,27.43,9.81,95,5,3.24,FI,1609853649
Kerema,-7.96,145.78,79.77,82,99,4.74,PG,1609853650
Severo-Yeniseyskiy,60.37,93.04,-17.93,90,100,4.7,RU,1609853651
Wai,17.93,73.9,72.36,64,63,1.74,IN,1609853631
Barra de Tecoanapa,16.52,-98.75,75.43,81,0,4.72,MX,1609853653
Coyhaique,-45.58,-72.07,55.4,58,0,2.24,CL,1609853654
Bathsheba,13.22,-59.52,84.2,58,20,18.34,BB,1609853655
Teknāf,20.86,92.31,71.71,72,90,7.29,BD,1609853656
Pinega,64.7,43.39,4.15,94,45,3.0,RU,1609853658
Auki,-8.77,160.7,78.4,71,100,5.19,SB,1609853659
Nabire,-3.37,135.48,77.54,89,100,4.09,ID,1609853660
Quatre Cocos,-20.21,57.76,80.6,78,40,13.87,MU,1609853661
Iqaluit,63.75,-68.51,-5.01,70,90,3.36,CA,1609853662
Narsaq,60.92,-46.05,28.4,68,75,2.24,GL,1609853663
Alta Floresta,-9.88,-56.09,83.21,71,84,3.83,BR,1609853664
Hofn,64.25,-15.21,38.32,81,100,7.85,IS,1609853667
Yangshe,31.89,120.61,39.0,79,91,8.99,CN,1609853668
Neiafu,-18.65,-173.98,77.0,94,75,8.05,TO,1609853669
Enniscorthy,52.5,-6.56,39.0,93,40,10.29,IE,1609853670
Torbay,47.67,-52.73,34.0,91,90,18.34,CA,1609853671
Zalesovo,53.99,84.74,-16.47,85,0,8.01,RU,1609853672
Mogadishu,2.04,45.34,79.79,67,36,25.17,SO,1609853530
Aleksandrov Gay,50.15,48.57,10.9,94,0,10.18,RU,1609853674
Lubumbashi,-11.66,27.48,72.95,88,100,5.21,CD,1609853675
Warrnambool,-38.38,142.48,55.0,92,99,11.68,AU,1609853677
Tigzirt,36.89,4.12,54.68,48,100,8.63,DZ,1609853678
Brigantine,39.41,-74.36,37.99,93,90,4.7,US,1609853679
Churapcha,62.0,132.43,-48.05,77,100,1.32,RU,1609853680
Karratha,-20.74,116.85,85.3,64,85,4.12,AU,1609853681
Broome,42.25,-75.83,32.0,92,90,3.36,US,1609853682
Aktash,50.3,87.73,-24.23,82,0,5.53,RU,1609853683
Jinxiang,27.43,120.61,50.65,80,100,19.1,CN,1609853684
São Félix do Xingu,-6.64,-51.99,83.8,65,99,4.52,BR,1609853685
Makkah al Mukarramah,21.43,39.83,83.64,47,4,10.13,SA,1609853490
Margate,51.38,1.39,42.01,80,100,3.0,GB,1609853688
Tura,25.52,90.22,62.71,71,51,2.95,IN,1609853689
Kassala,15.45,36.4,93.94,14,56,12.59,SD,1609853690
Harrisonville,38.65,-94.35,28.0,92,1,4.83,US,1609853692
Langarūd,37.2,50.15,48.2,70,20,6.93,IR,1609853693
La Rioja,42.25,-2.5,41.0,92,75,14.99,ES,1609853695
Nishihara,26.18,127.76,62.6,77,75,16.11,JP,1609853696
Dhidhdhoo,6.88,73.1,82.83,77,100,11.12,MV,1609853698
Coxim,-18.51,-54.76,89.53,47,69,9.26,BR,1609853699
Coos Bay,43.37,-124.22,44.6,81,1,10.29,US,1609853701
Swellendam,-34.02,20.44,75.2,53,100,9.17,ZA,1609853704
Mpulungu,-8.76,31.11,78.71,62,25,3.71,ZM,1609853705
Luanda,-8.84,13.23,86.0,58,40,14.99,AO,1609853459
Māngrol,21.12,70.12,70.81,42,0,15.43,IN,1609853707
Severnoye,56.35,78.36,-18.0,85,0,5.3,RU,1609853708
Kyshtovka,56.55,76.63,-16.65,86,27,4.9,RU,1609853710
Touros,-5.2,-35.46,86.0,58,40,14.99,BR,1609853524
Mossendjo,-2.95,12.73,80.24,80,65,4.54,CG,1609853712
Feicheng,35.26,117.97,23.95,91,66,3.29,CN,1609853713
Forestville,38.85,-76.88,41.0,80,90,3.94,US,1609853714
Kismayo,-0.36,42.55,80.55,70,67,20.22,SO,1609853715
Bosaso,11.28,49.18,78.8,65,0,11.41,SO,1609853716
Chontalpa,17.7,-93.52,70.39,95,52,1.92,MX,1609853717
Saint-François,46.42,3.91,36.0,74,90,4.7,FR,1609853719
Mandurah,-32.55,115.7,80.01,24,0,14.83,AU,1609853720
Sambava,-14.27,50.17,82.22,71,4,11.99,MG,1609853721
São Gabriel da Cachoeira,-0.13,-67.09,77.0,88,75,3.36,BR,1609853722
Hirado,33.36,129.55,44.6,65,75,6.93,JP,1609853446
San Ramon,37.78,-121.98,44.01,100,90,3.36,US,1609853680
Buin,-33.73,-70.75,66.2,37,0,4.7,CL,1609853727
Kamenka,51.32,42.77,21.99,89,61,14.52,RU,1609853728
Cusset,46.13,3.46,36.0,85,90,6.93,FR,1609853729
Galesburg,40.95,-90.37,21.0,100,1,6.98,US,1609853730
Bela Vista,-22.11,-56.52,77.4,87,100,7.14,BR,1609853731
Motema,8.6,-11.03,94.57,32,17,2.06,SL,1609853732
Seoul,37.57,126.98,19.4,37,1,6.73,KR,1609853494
Formosa,-26.18,-58.18,80.6,69,20,5.01,AR,1609853734
Miandrivazo,-19.52,45.47,86.34,66,72,8.46,MG,1609853736
Srednekolymsk,67.45,153.68,-27.24,85,96,9.86,RU,1609853737
Flin Flon,54.77,-101.86,8.6,92,75,2.24,CA,1609853739
Ust-Tsilma,65.44,52.15,-3.3,91,5,3.78,RU,1609853740
Winneba,5.35,-0.62,89.6,66,20,9.17,GH,1609853741
Geraldton,-28.77,114.6,86.0,17,0,11.41,AU,1609853742
Tinqueux,49.25,3.98,37.4,86,90,9.17,FR,1609853743
Yulara,-25.24,130.99,78.8,26,99,16.11,AU,1609853744
Muyinga Province,-2.83,30.33,73.18,70,64,4.38,BI,1609853745
Neryungri,56.67,124.65,-31.16,81,100,5.84,RU,1609853701
Boyarka,50.32,30.3,32.0,97,90,11.18,UA,1609853748
Cathedral City,33.78,-116.47,51.8,50,1,3.36,US,1609853472
Bar Harbor,44.39,-68.2,30.99,86,90,12.75,US,1609853750
Maragogi,-9.01,-35.22,83.07,63,34,10.98,BR,1609853751
Salas,43.41,-6.26,43.0,86,20,12.75,ES,1609853752
Morant Bay,17.88,-76.41,79.0,57,20,6.93,JM,1609853754
Mahanoro,-19.9,48.8,80.71,74,2,8.32,MG,1609853757
Lagunas,-5.23,-75.68,73.6,98,100,2.82,PE,1609853758
Den Helder,52.96,4.76,39.0,93,75,20.8,NL,1609853759
Souillac,-20.52,57.52,80.6,78,40,13.87,MU,1609853761
Tabou,4.42,-7.35,83.57,72,33,8.99,CI,1609853762
Rockhampton,-23.38,150.5,78.8,83,97,2.24,AU,1609853644
Kualakapuas,-3.01,114.39,77.0,100,90,1.12,ID,1609853764
Najrān,17.49,44.13,75.2,33,0,6.93,SA,1609853765
Yumen,40.28,97.2,8.31,64,0,10.0,CN,1609853766
Boende,-0.22,20.87,83.89,76,64,1.1,CD,1609853767
Sisimiut,66.94,-53.67,12.94,93,100,10.67,GL,1609853769
Rafrāf,37.19,10.18,59.0,42,20,11.41,TN,1609853770
Salinas,36.68,-121.66,44.6,100,90,3.06,US,1609853523
Caiapônia,-16.96,-51.81,81.0,59,99,6.8,BR,1609853772
Zatoka,46.07,30.47,41.0,100,90,13.42,UA,1609853773
Lebedyn,50.59,34.48,30.56,95,100,11.81,UA,1609853774
Yambio,4.57,28.4,91.27,28,91,1.66,SS,1609853775
La Plata,-34.92,-57.95,81.0,78,20,11.41,AR,1609853484
Aden,12.78,45.04,77.43,72,4,14.05,YE,1609853604
Khovd,48.01,91.64,-7.56,71,0,2.44,MN,1609853780
Labuhan,-6.88,112.21,77.47,87,100,9.44,ID,1609853781
San Javier,37.81,-0.84,55.4,26,0,8.05,ES,1609853782
Grand Gaube,-20.01,57.66,80.01,76,1,8.99,MU,1609853783
Kaputa,-8.47,29.66,76.96,75,80,2.59,ZM,1609853784
Qui Nhon,13.77,109.23,74.1,88,100,16.22,VN,1609853785
Dayong,25.02,118.29,57.2,71,40,15.66,CN,1609853789
Rocha,-34.48,-54.33,85.75,45,37,11.25,UY,1609853791
Ubari,26.59,12.78,72.16,34,49,12.19,LY,1609853792
Christiana,-27.91,25.16,72.12,70,100,14.07,ZA,1609853793
Ludvika,60.15,15.19,26.6,92,90,5.82,SE,1609853794
Howard Springs,-12.5,131.05,84.2,79,75,5.82,AU,1609853795
Key West,24.56,-81.78,64.99,68,1,9.17,US,1609853722
Kayerkan,69.35,87.76,-14.8,75,90,24.61,RU,1609853797
Vardø,70.37,31.11,26.6,92,0,31.09,NO,1609853798
Kathu,7.92,98.33,84.99,74,20,9.17,TH,1609853800
Berdigestyakh,62.1,126.7,-39.35,80,100,3.62,RU,1609853801
Gouyave,12.16,-61.73,82.4,69,20,11.41,GD,1609853802
Foumban,5.73,10.9,90.55,16,0,5.53,CM,1609853803
Tommot,58.96,126.29,-24.75,81,100,8.08,RU,1609853804
Cherskiy,68.75,161.3,-23.19,86,100,9.82,RU,1609853805
Alofi,-19.06,-169.92,75.2,100,100,3.36,NU,1609853806
Saýat,38.78,63.88,24.8,73,90,2.24,TM,1609853807
Nichinan,31.6,131.37,48.2,78,75,11.41,JP,1609853548
Río Cuarto,-33.13,-64.35,62.01,93,75,13.87,AR,1609853811
Springdale,36.19,-94.13,30.2,100,1,4.18,US,1609853731
Porosozero,62.72,32.73,13.12,97,95,3.8,RU,1609853813
Glendive,47.11,-104.71,28.4,68,90,7.02,US,1609853814
Safford,32.83,-109.71,48.0,47,1,3.36,US,1609853815
Cehegín,38.09,-1.8,55.99,27,0,8.05,ES,1609853816
Oudtshoorn,-33.59,22.2,71.6,88,90,10.29,ZA,1609853817
Opuwo,-18.06,13.84,86.7,22,99,8.21,NA,1609853819
Talaya,61.38,152.75,-32.1,81,100,1.72,RU,1609853820
Torrington,41.8,-73.12,33.01,96,0,5.55,US,1609853821
Hay River,60.82,-115.8,-11.2,76,100,6.93,CA,1609853822
Totness,5.88,-56.32,82.2,73,9,6.85,SR,1609853823
Jinka,5.65,36.65,81.34,35,21,2.26,ET,1609853824
Sulangan,11.14,123.72,82.15,78,60,15.05,PH,1609853825
Bagdarin,54.43,113.6,-26.68,75,68,4.47,RU,1609853826
Lozna,47.32,23.47,44.6,93,90,6.93,RO,1609853828
Qazax,41.09,45.37,36.9,79,0,1.81,AZ,1609853829
Lagoa,39.05,-27.98,60.26,81,100,36.75,PT,1609853830
Sørland,67.67,12.69,44.6,93,75,17.22,NO,1609853831
Buala,-8.14,159.59,80.94,72,100,4.29,SB,1609853832
Palauig,15.44,119.9,79.83,78,0,6.4,PH,1609853833
Tokur,53.13,132.9,-33.23,84,100,0.87,RU,1609853834
Nouadhibou,20.93,-17.03,75.2,33,86,4.7,MR,1609853835
Salinópolis,-0.61,-47.36,85.19,66,63,11.63,BR,1609853837
Tecpan,14.76,-90.99,57.99,93,75,13.87,GT,1609853838
Rivadavia,-33.19,-68.46,66.2,68,40,9.17,AR,1609853827
Santa Cruz de Tenerife,28.47,-16.25,70.0,72,20,9.17,ES,1609853841
Alice Springs,-23.7,133.88,77.0,77,0,8.08,AU,1609853842
Andradas,-22.07,-46.57,69.8,83,75,5.68,BR,1609853843
Rāpar,23.57,70.63,65.53,40,0,6.26,IN,1609853846
Semey,50.41,80.23,-31.0,66,0,4.47,KZ,1609853847
Kromy,52.69,35.77,27.64,96,100,8.34,RU,1609853848
Banepā,27.63,85.52,57.2,67,75,3.36,NP,1609853849
Rio Grande,-32.03,-52.1,78.8,78,75,9.17,BR,1609853570
Cajazeiras,-6.89,-38.56,96.3,33,26,3.85,BR,1609853852
Mikkeli,61.69,27.27,16.0,95,89,1.01,FI,1609853629
Chabahar,25.29,60.64,67.21,35,0,9.08,IR,1609853854
Ranfurly,-45.13,170.1,48.0,98,0,1.83,NZ,1609853856
Mandera,3.94,41.87,94.86,19,0,14.09,KE,1609853857
Grindavik,63.84,-22.43,33.8,72,75,6.93,IS,1609853858
Tual,-5.67,132.75,83.59,77,100,9.53,ID,1609853859
Nushki,29.55,66.02,43.65,50,0,1.52,PK,1609853860
Sabha,27.04,14.43,72.95,30,9,13.44,LY,1609853861
Isla Vista,34.41,-119.86,53.01,100,1,6.22,US,1609853862
Ternitz,47.72,16.04,39.2,100,86,9.17,AT,1609853863
Price,39.6,-110.81,26.6,92,90,3.87,US,1609853865
Makakilo City,21.35,-158.09,69.8,88,20,3.36,US,1609853866
San Rafael,-34.62,-68.33,65.98,57,96,11.1,AR,1609853867
Datong,40.09,113.29,7.95,66,0,7.49,CN,1609853868
Luwuk,-0.95,122.79,78.39,75,100,4.27,ID,1609853613
Kandi,11.13,2.94,101.8,8,26,7.27,BJ,1609853871
Mabaruma,8.2,-59.78,82.67,71,100,2.55,GY,1609853873
Saint-Augustin,51.23,-58.65,22.71,92,6,9.28,CA,1609853874
Caluquembe,-13.78,14.68,75.29,41,93,8.12,AO,1609853875
Paragominas,-2.97,-47.48,84.76,67,41,4.72,BR,1609853876
Jieshi,22.81,115.83,60.91,81,25,17.25,CN,1609853877
